time,DIFFERENTIAL_PRES
11/01/2010,2000.0
12/01/2010,2000.0
01/01/2011,2000.0
02/01/2011,2000.0
03/01/2011,2000.0
04/01/2011,2000.0
05/01/2011,2000.0
06/01/2011,2000.0
07/01/2011,2000.0
08/01/2011,2000.0
09/01/2011,2000.0
10/01/2011,2000.0
11/01/2011,2000.0
12/01/2011,2000.0
01/01/2012,2000.0
02/01/2012,2000.0
03/01/2012,2000.0
04/01/2012,2000.0
05/01/2012,2000.0
06/01/2012,2000.0
07/01/2012,2000.0
08/01/2012,2000.0
09/01/2012,2000.0
10/01/2012,2000.0
11/01/2012,2000.0
12/01/2012,2000.0
01/01/2013,2000.0
02/01/2013,2000.0
03/01/2013,2000.0
04/01/2013,2000.0
05/01/2013,2000.0
06/01/2013,2000.0
07/01/2013,2000.0
08/01/2013,2000.0
09/01/2013,2000.0
10/01/2013,2000.0
11/01/2013,2000.0
12/01/2013,2000.0
01/01/2014,2000.0
02/01/2014,2000.0
03/01/2014,2000.0
04/01/2014,2000.0
05/01/2014,2000.0
06/01/2014,2000.0
07/01/2014,2000.0
08/01/2014,2000.0
09/01/2014,2000.0
10/01/2014,2000.0
11/01/2014,2000.0
12/01/2014,2000.0
01/01/2015,2000.0
02/01/2015,2000.0
03/01/2015,2000.0
04/01/2015,2000.0
05/01/2015,2000.0
06/01/2015,2000.0
07/01/2015,2000.0
08/01/2015,2000.0
09/01/2015,2000.0
10/01/2015,2000.0
11/01/2015,2000.0
12/01/2015,2000.0
01/01/2016,2000.0
02/01/2016,2000.0
03/01/2016,2000.0
04/01/2016,2000.0
05/01/2016,2000.0
06/01/2016,2000.0
07/01/2016,2000.0
08/01/2016,2000.0
09/01/2016,2000.0
10/01/2016,2000.0
11/01/2016,2000.0
12/01/2016,2000.0
01/01/2017,2000.0
02/01/2017,2000.0
03/01/2017,2000.0
04/01/2017,2000.0
05/01/2017,2000.0
06/01/2017,2000.0
07/01/2017,2000.0
08/01/2017,2000.0
09/01/2017,2000.0
10/01/2017,2000.0
11/01/2017,2000.0
12/01/2017,2000.0
01/01/2018,2000.0
02/01/2018,2000.0
03/01/2018,2000.0
04/01/2018,2000.0
05/01/2018,2000.0
06/01/2018,2000.0
07/01/2018,2000.0
08/01/2018,2000.0
09/01/2018,2000.0
10/01/2018,2000.0
11/01/2018,2000.0
12/01/2018,2000.0
01/01/2019,2000.0
02/01/2019,2000.0
03/01/2019,2000.0
04/01/2019,2000.0
05/01/2019,2000.0
06/01/2019,2000.0
07/01/2019,2000.0
08/01/2019,2000.0
09/01/2019,2000.0
10/01/2019,2000.0
11/01/2019,2000.0
12/01/2019,2000.0
01/01/2020,2000.0
02/01/2020,2000.0
03/01/2020,2000.0
04/01/2020,2000.0
05/01/2020,2000.0
06/01/2020,2000.0
07/01/2020,2000.0
08/01/2020,2000.0
