time,CUM_PROD_DAYS
2011-08-01,0.0
2011-09-01,5.0
2011-10-01,32.0
2011-11-01,62.0
2011-12-01,82.0
2012-01-01,110.0
2012-02-01,136.0
2012-03-01,166.0
2012-04-01,195.0
2012-05-01,226.0
2012-06-01,254.0
2012-07-01,285.0
2012-08-01,304.0
2012-09-01,334.0
2012-10-01,365.0
2012-11-01,395.0
2012-12-01,425.0
2013-01-01,456.0
2013-02-01,482.0
2013-03-01,513.0
2013-04-01,543.0
2013-05-01,565.0
2013-06-01,595.0
2013-07-01,626.0
2013-08-01,657.0
2013-09-01,687.0
2013-10-01,718.0
2013-11-01,748.0
2013-12-01,769.0
2014-01-01,777.0
2014-02-01,805.0
2014-03-01,836.0
2014-04-01,866.0
2014-05-01,897.0
2014-06-01,927.0
2014-07-01,953.0
2014-08-01,974.0
2014-09-01,1002.0
2014-10-01,1033.0
2014-11-01,1063.0
2014-12-01,1094.0
2015-01-01,1125.0
2015-02-01,1135.0
2015-03-01,1157.0
2015-04-01,1187.0
2015-05-01,1218.0
2015-06-01,1245.0
2015-07-01,1268.0
2015-08-01,1299.0
2015-09-01,1329.0
2015-10-01,1359.0
2015-11-01,1389.0
2015-12-01,1420.0
2016-01-01,1451.0
2016-02-01,1480.0
2016-03-01,1503.0
2016-04-01,1518.0
2016-05-01,1549.0
2016-06-01,1579.0
2016-07-01,1610.0
2016-08-01,1640.0
2016-09-01,1647.0
2016-10-01,1665.0
2016-11-01,1695.0
2016-12-01,1714.0
2017-01-01,1719.0
2017-02-01,1723.0
2017-03-01,1754.0
2017-04-01,1784.0
2017-05-01,1795.0
2017-06-01,1816.0
2017-07-01,1847.0
2017-08-01,1878.0
2017-09-01,1908.0
2017-10-01,1939.0
2017-11-01,1969.0
2017-12-01,2000.0
2018-01-01,2030.0
2018-02-01,2058.0
2018-03-01,2089.0
2018-04-01,2119.0
2018-05-01,2135.0
2018-06-01,2165.0
2018-07-01,2196.0
2018-08-01,2226.0
2018-09-01,2256.0
2018-10-01,2280.0
2018-11-01,2293.0
2018-12-01,2324.0
2019-01-01,2355.0
2019-02-01,2383.0
2019-03-01,2413.0
2019-04-01,2443.0
2019-05-01,2474.0
2019-06-01,2504.0
2019-07-01,2535.0
2019-08-01,2565.0
2019-09-01,2595.0
2019-10-01,2620.0
2019-11-01,2635.0
2019-12-01,2666.0
2020-01-01,2697.0
2020-02-01,2726.0
2020-03-01,2757.0
2020-04-01,2787.0
2020-05-01,2818.0
2020-06-01,2848.0
2020-07-01,2879.0
2020-08-01,2910.0
