Well_ID,md_top,md_bot,PERF
30G-303-5123380070000,7756.0,11724.0,1
30G-423-5123380090000,7716.0,11766.0,1
30K-123-5123379710000,7504.0,11431.0,1
30K-403-5123379770000,7687.0,11776.0,1
30N-14HZ-5123363390000,7682.0,12265.0,1
30N-36HZ-5123399750000,8032.0,12784.0,1
30N-8HZ-5123375710000,7713.0,12238.0,1
30O-303-5123379730000,7750.0,11674.0,1
30O-443-5123379700000,7629.0,11759.0,1
31-5HZ-5123323160000,7453.0,12246.0,1
31C-17-M-5123437680000,7793.0,14455.0,1
31N-17A-M-5123437720000,7605.0,14250.0,1
31N-17C-M-5123437730000,7684.0,14329.0,1
32N-17B-M-5123437710000,7790.0,14367.0,1
32N-17C-M-5123437690000,7870.0,14459.0,1
32W-234-5123400950000,7726.0,14213.0,1
32W-434-5123400920000,7820.0,14361.0,1
32X-204-5123400930000,7614.0,14028.0,1
32X-314-5123400960000,7704.0,14156.0,1
32X-334-5123400980000,7570.0,14147.0,1
32Y-214-5123400970000,7572.0,14089.0,1
32Y-314-5123400940000,7691.0,14185.0,1
32Y-404-5123400910000,7820.0,14327.0,1
33-65HN-5123337020000,7697.0,12703.0,1
35N-15HZ-5123370010000,7677.0,12255.0,1
36-79HN-5123339880000,7575.0,10200.0,1
36-99HZ-5123331140000,7091.0,10433.0,1
37C-15HZ-5123370120000,7735.0,11892.0,1
37C-17HZ-5123365150000,7889.0,14366.0,1
37N-15HZ-5123370140000,7640.0,12115.0,1
37N-22HZ-5123364460000,7583.0,12073.0,1
3C-13HZ-5123363940000,7910.0,11927.0,1
3C-20HZ-5123351370000,7697.0,16499.0,1
3N-13HZ-5123363990000,7650.0,11753.0,1
3N-14B-XR-5123414590000,7725.0,19352.0,1
3N-14HZ-5123363400000,7651.0,12273.0,1
3N-15HZ-5123369090000,7607.0,12318.0,1
3N-20HZ-5123351420000,7501.0,16343.0,1
3N-5123468970000,7341.0,16758.0,1
4B-26H-P268-5123409440000,7886.0,14650.0,1
4C-13HZ-5123365180000,7999.0,12100.0,1
4C-14-XR-5123414740000,7925.0,19935.0,1
4C-14HZ-5123363430000,7796.0,12368.0,1
4C-26H-P268-5123409370000,7754.0,14735.0,1
4C-35H-O367-5123401070000,7318.0,11654.0,1
4D-26H-P268-5123409360000,7927.0,14583.0,1
4G-26H-P268-5123409350000,7649.0,14547.0,1
4G-7HZ-5123383130000,8093.0,12074.0,1
4H-26H-P268-5123409400000,7673.0,14630.0,1
4I-26H-P268-5123409410000,7602.0,14367.0,1
4J-26H-P268-5123409430000,7544.0,14437.0,1
4N-13HZ-5123365190000,7671.0,11852.0,1
4N-17B-M-5123437700000,7620.0,14074.0,1
4N-17C-M-5123437740000,7670.0,14346.0,1
4N-36HZ-5123399770000,7880.0,12582.0,1
4N-5123468790000,7388.0,17223.0,1
5C-17-M-5123437760000,7906.0,14559.0,1
5N-17B-M-5123437770000,7672.0,14308.0,1
5N-5123468840000,7293.0,17128.0,1
5N-8HZ-5123375740000,7532.0,12059.0,1
6G-403-5123403970000,7757.0,11758.0,1
6K-403-5123404010000,7634.0,11821.0,1
6N-5123468770000,7245.0,17163.0,1
6O-443-5123403990000,7697.0,11842.0,1
7K-403-5123403780000,7621.0,14130.0,1
7N-5123468760000,7237.0,17119.0,1
8N-5123468540000,7290.0,17161.0,1
9N-14C-L-5123414620000,7980.0,17257.0,1
9N-5123468380000,7312.0,17227.0,1
C2-16-18-5123444220000,8371.0,20525.0,1
C20-780-5123400880200,7606.0,11265.0,1
C31-79HN-5123333230000,7449.0,11035.0,1
C4-16-18-5123444140000,8179.0,20306.0,1
D02-75HN-5123333260000,7070.0,11055.0,1
F36-65HN-5123356770000,7387.0,11017.0,1
G10-79HN-5123340180000,7403.0,12896.0,1
G11-99HZ-5123322440000,7503.0,11409.0,1
G14-65-1HN-5123381160000,7526.0,11232.0,1
G16-69HN-5123369970000,7497.0,10387.0,1
G16-75HN-5123352330000,7773.0,11456.0,1
G24-74-1HN-5123355360000,7581.0,11228.0,1
G24-75HN-5123355370000,7508.0,11353.0,1
G25-73-1HN-5123395510000,7579.0,16741.0,1
G25-74-1HN-5123355450000,7583.0,11345.0,1
G25-75HN-5123355410000,7529.0,10977.0,1
G34-618-5123446100100,6965.0,16870.0,1
G34-626-5123446050000,7004.0,16856.0,1
G34-635-5123446060000,6987.0,16870.0,1
G34-645-5123446000000,7025.0,16948.0,1
G34-65HN-5123359690000,7467.0,16235.0,1
G34-666-5123446020000,6891.0,16848.0,1
G34-675-5123446040000,6951.0,12149.0,1
G34-679-5123446080000,6809.0,16824.0,1
G34-684-5123446010000,6918.0,16690.0,1
G34-689-5123446070000,6861.0,16568.0,1
G34-99HZ-5123323560000,7410.0,10989.0,1
H01-74-1HNX-5123395500100,7767.0,16583.0,1
H22-755-5123406150000,7468.0,12464.0,1
H22-765-5123406140000,7230.0,11981.0,1
K07-65-1BHN-5123394770000,7484.0,16151.0,1
K08-67-1HN-5123394750000,7786.0,11654.0,1
K08-67HN-5123395600000,7568.0,11815.0,1
K08-68-1HN-5123395590000,7651.0,17321.0,1
K08-69-1HN-5123395610000,7481.0,14460.0,1
K08-69HN-5123395580000,7647.0,17524.0,1
K09-63-1HN-5123394640000,7515.0,10607.0,1
K16-64-1HN-5123378070000,7503.0,11317.0,1
K25-68-1HNL-5123383670000,7758.0,16472.0,1
