md,x,y,z
1960.0,2094748.451073691,17456336.53689025,-57.0
2000.0,2094748.811966091,17456336.63531545,-17.0
2100.0,2094750.878895291,17456337.029016253,83.0
2200.0,2094752.781782491,17456337.225866653,183.0
2300.0,2094753.667609291,17456336.96339945,283.0
2400.0,2094753.077058091,17456336.504081853,383.0
2500.0,2094750.485194491,17456336.04476425,482.98999000000003
2600.0,2094745.957635291,17456335.15893745,582.9799800000001
2700.0,2094740.9051416907,17456334.371535853,682.969971
2800.0,2094735.327713691,17456333.78098465,782.949951
2900.0,2094728.864458891,17456333.15762505,882.9399410000001
3000.0,2094722.893330091,17456332.33741505,982.919922
3100.0,2094717.479944091,17456331.025079053,1082.899902
3200.0,2094712.033749691,17456329.975210253,1182.889893
3300.0,2094707.014064491,17456330.00801865,1282.8798829999996
3400.0,2094702.519313691,17456330.336102653,1382.8701170000004
3500.0,2094698.680730891,17456330.106443852,1482.860107
3600.0,2094695.6951664912,17456329.67993465,1582.860107
3700.0,2094693.36576681,17456329.18780865,1682.850098
3800.0,2094691.528499691,17456328.82691625,1782.850098
3900.0,2094690.2817804911,17456328.728491053,1882.850098
4000.0,2094689.9865048912,17456328.859724652,1982.850098
4100.0,2094690.5442476908,17456329.122191854,2082.850098
4200.0,2094691.790966891,17456329.61431785,2182.850098
4300.0,2094693.201728091,17456329.48308425,2282.850098
4400.0,2094694.4156421719,17456328.958149854,2382.850098
4500.0,2094695.662358091,17456328.63006585,2482.850098
4600.0,2094697.302778091,17456328.23636505,2582.850098
4700.0,2094698.976006491,17456328.039514653,2682.850098
4800.0,2094701.1413608908,17456326.82560385,2782.839844
4900.0,2094703.831649691,17456324.06969825,2882.839844
5000.0,2094706.226662891,17456320.13269025,2982.830078
5100.0,2094708.720101291,17456314.32560345,3082.8100590000004
5200.0,2094708.5888676909,17456306.71405465,3182.7797849999997
5300.0,2094704.8487100909,17456299.98833265,3282.75
5400.0,2094700.058683691,17456294.87022225,3382.72998
5500.0,2094694.0547464911,17456290.40827985,3482.7001950000003
5600.0,2094686.705664891,17456285.45421145,3582.669922
5700.0,2094680.045559691,17456278.794106252,3682.6201170000004
5800.0,2094677.913013691,17456275.808541853,3782.6098630000006
5900.0,2094680.078368091,17456277.284923133,3882.6098630000006
6000.0,2094685.3605204911,17456279.876783453,3982.589844
6100.0,2094694.1203665717,17456282.46864705,4082.5498049999997
6200.0,2094704.750284891,17456284.37153425,4182.5
6300.0,2094716.594117291,17456287.980458252,4282.430176
6400.0,2094728.372332891,17456292.868909854,4382.350098
6500.0,2094738.8054040913,17456296.96995985,4482.290039
6600.0,2094747.8277140912,17456300.48045865,4582.25
6700.0,2094756.193856091,17456303.46602305,4682.209961
6800.0,2094760.6557984909,17456301.30066865,4782.200195
6900.0,2094758.556060891,17456293.853161853,4882.169922
7000.0,2094751.9943808909,17456288.99751865,4982.129883
7100.0,2094743.004879291,17456290.17862105,5082.089844
7200.0,2094736.607241291,17456294.08282065,5182.069823999999
7300.0,2094734.343461691,17456297.29804385,5282.060059
7400.0,2094733.556060091,17456300.05394945,5382.060059
7500.0,2094733.227976091,17456303.69568185,5482.049805
7600.0,2094732.6702332909,17456306.77967145,5582.040039
7700.0,2094732.867083691,17456308.94502585,5682.040039
7800.0,2094734.671545691,17456311.43846425,5782.040039
7900.0,2094737.066558891,17456313.27573465,5882.029785
8000.0,2094738.641362091,17456314.16156145,5982.029785
8100.0,2094741.856585291,17456316.35972425,6082.02002
8200.0,2094747.302779691,17456319.34528865,6182.009765999999
8300.0,2094752.6833572912,17456320.69043305,6281.990234000001
8400.0,2094758.9169532908,17456321.18255905,6381.969727
8500.0,2094765.5114416908,17456321.14975065,6481.950194999999
8600.0,2094771.9090796912,17456320.19830705,6581.929688
8700.0,2094778.2739092908,17456317.245551053,6681.910156
8800.0,2094784.245038091,17456312.81641705,6781.879883
8900.0,2094789.7896576908,17456308.64975025,6881.860352
9000.0,2094795.399894091,17456304.94240105,6981.839844
9100.0,2094800.944513691,17456301.36628545,7081.820312
9200.0,2094806.2594777718,17456297.13400185,7181.799805000001
9300.0,2094811.47600681,17456292.37678385,7281.780273
9400.0,2094816.4628868909,17456287.816416252,7381.75
9500.0,2094821.220104891,17456283.51851585,7481.740234000001
9600.0,2094825.649242172,17456279.581504572,7581.719727
9700.0,2094829.684672091,17456275.93977873,7681.7099610000005
9800.0,2094833.62167681,17456272.52770185,7781.690430000001
9900.0,2094837.4274577717,17456269.214053452,7881.679688
10000.0,2094841.101995291,17456266.031638652,7981.669921999999
10100.0,2094844.6453024908,17456263.50539185,8081.660156
10200.0,2094848.12298961,17456261.93058865,8181.650390999999
10300.0,2094851.2069824908,17456261.96339705,8281.650391
10337.0,2094852.48650681,17456262.389906254,8318.650391
10369.0,2094853.5363756102,17456263.997514572,8350.639648
10401.0,2094853.7660311293,17456270.099880252,8382.580078
10433.0,2094852.9786393717,17456283.124811772,8414.330078
10464.0,2094851.895962172,17456302.05526185,8444.780273
10496.0,2094851.66629681,17456327.21930465,8475.839844
10526.0,2094852.51931521,17456356.05788825,8504.519531
10560.0,2094854.1925468908,17456394.345294334,8536.450195
10592.0,2094855.6033080912,17456435.02770705,8565.94043
10624.0,2094856.3907162528,17456479.28623209,8594.959961
10655.0,2094856.423518091,17456525.21799209,8622.610352
10686.0,2094855.8001617717,17456574.791500892,8649.679688
